id,ORG,GPE,DATE,NORP,PERSON,MONEY,CARDINAL,LOC,ORDINAL,TIME,QUANTITY,FAC,WORK_OF_ART,LAW,PRODUCT,PERCENT,EVENT,LANGUAGE
orcq5l,6,10,2,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0
orcl2g,9,6,10,3,17,0,1,0,0,0,0,0,0,0,0,0,0,0
orc922,15,16,14,3,11,0,10,0,0,0,0,0,0,0,0,0,0,0
orc7y9,4,3,6,5,3,1,0,0,0,1,0,0,4,0,0,0,0,0
orc5su,8,32,15,3,6,0,14,5,0,3,6,3,0,0,0,2,0,0
orbt5k,25,32,14,5,11,2,9,0,0,0,0,0,0,0,0,7,0,0
orbp1r,3,4,4,0,0,0,3,0,0,2,0,0,0,0,2,0,0,0
orbo6d,2,16,5,4,7,0,0,2,0,0,0,0,0,0,0,0,1,0
orbgc3,6,22,8,6,12,0,13,1,1,2,0,1,0,0,0,0,0,0
orawkz,5,10,9,0,7,0,19,2,1,0,0,0,0,0,5,0,0,0
ora18l,45,25,6,9,15,1,7,0,0,0,0,0,0,0,0,0,0,0
or9zgi,11,10,9,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
or9ybm,15,28,29,4,11,0,14,8,1,1,10,0,0,0,0,0,0,0
ormlrc,7,4,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0
ormk2l,17,12,8,2,4,0,2,0,0,0,0,0,0,0,0,1,0,0
orm5u3,11,31,18,3,6,0,17,5,0,2,10,7,1,0,0,3,0,0
orm3xm,10,19,8,4,6,0,0,3,0,0,0,0,0,0,0,0,4,0
orlk5p,8,6,5,0,10,0,4,3,0,0,0,0,0,0,1,0,0,0
orl644,14,7,14,0,4,6,9,3,3,0,0,2,0,2,0,3,0,0
orkzmi,0,4,6,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
orkm3c,6,1,1,0,2,3,6,0,0,1,0,0,0,0,0,0,0,0
ork9a8,12,11,16,6,27,0,2,1,0,3,0,0,0,1,0,0,0,0
ork5e7,10,12,16,0,5,0,6,0,4,4,1,1,0,0,0,0,0,0
origeg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orf8mq,4,4,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
orflue,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orhvme,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
orhppj,2,2,2,1,3,0,0,2,0,3,1,0,0,0,0,0,0,0
orhpeq,12,12,4,2,6,0,1,0,1,0,0,0,1,0,0,0,1,0
orhjxe,15,12,13,0,2,2,4,1,0,3,1,0,1,0,0,0,0,0
orhgt1,1,6,6,0,6,0,0,0,2,0,0,1,0,0,0,0,0,0
orgypn,8,1,0,0,21,0,2,0,0,1,0,0,0,0,0,0,0,0
orgdr8,6,18,6,9,2,0,4,0,0,1,2,0,0,0,0,0,0,0
orohd9,5,10,4,2,8,0,14,1,6,1,2,0,0,0,0,0,1,0
orogzi,4,4,8,2,2,0,3,1,0,3,0,0,0,0,0,0,0,0
orocch,8,6,7,1,2,0,4,0,0,1,0,0,0,0,0,1,6,0
ornydf,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
ornvkr,11,12,14,5,23,0,6,1,0,3,0,0,0,1,0,2,0,0
orweyo,8,4,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
orw0rk,1,8,4,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0
orvuta,4,7,12,1,14,0,9,1,1,5,1,0,0,0,1,0,1,0
orv69d,20,18,15,5,10,3,8,0,0,0,0,2,0,0,0,1,0,0
oruarc,18,5,20,9,2,0,10,0,4,0,0,0,0,0,0,0,0,0
oru3mb,13,16,22,1,7,1,13,2,1,0,0,1,0,0,2,0,0,0
oru2zw,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
orttpp,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ortmqo,5,11,7,2,9,0,2,0,2,1,0,2,1,0,0,0,0,0
orrl3m,7,4,5,0,1,0,7,0,0,3,2,0,0,0,0,0,0,0
orqw1c,33,2,9,2,2,8,2,18,1,0,6,0,0,0,0,3,0,0
orqvln,2,4,3,0,6,0,1,0,4,2,0,0,0,0,1,0,0,0
os3mgs,7,10,6,9,6,0,3,2,1,0,0,0,0,0,1,0,0,0
os1vgg,1,5,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
os1teb,14,3,6,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0
os1k32,12,3,3,0,15,0,1,0,1,0,0,0,0,1,0,2,0,0
os0pvn,2,8,13,2,7,0,3,0,0,0,0,1,0,0,0,0,0,0
os04q9,9,10,5,2,14,0,3,0,3,0,0,0,0,0,0,0,0,0
os03qc,12,14,29,3,16,0,5,1,1,1,0,0,0,0,1,2,0,0
orzjcs,8,8,2,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0
orzbe6,3,6,7,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0
orz98x,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orxsoo,4,18,9,7,5,0,4,0,0,0,0,0,0,0,0,0,1,0
oryo90,20,20,20,0,12,0,3,0,3,0,0,0,1,0,0,7,0,0
oryo2b,25,6,4,3,4,0,2,0,0,0,0,1,0,0,2,0,0,0
ory6fi,31,19,16,1,26,8,2,0,2,0,0,0,0,0,2,4,0,0
orxx2d,18,39,18,17,8,0,5,0,0,2,0,0,0,0,0,0,0,0
orxw5b,16,30,24,5,11,0,2,4,3,0,0,0,0,0,1,2,0,0
osakj2,4,16,4,0,7,0,1,1,0,0,1,1,0,0,1,0,0,0
osaffd,12,6,6,0,4,1,3,0,0,1,0,0,2,0,0,0,0,0
osaelu,3,7,3,3,0,1,1,0,0,1,2,0,0,0,0,0,2,0
osabmv,4,9,11,0,11,0,8,3,0,0,1,0,0,0,0,1,0,0
osa5ih,24,5,10,5,15,1,4,0,0,1,0,0,0,0,1,1,0,0
osa2ur,0,3,3,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0
os9pgx,16,4,3,0,5,0,0,3,0,0,0,1,1,0,0,0,0,0
os9ce9,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
os9a6j,11,11,14,7,8,0,5,0,0,0,0,0,0,0,0,0,0,0
os981n,11,11,17,5,19,0,4,0,0,0,0,0,0,0,0,0,0,0
os8lkr,12,0,6,0,8,1,4,0,1,0,0,0,1,0,0,0,0,0
os8e5t,8,10,15,0,9,0,12,7,0,2,5,4,0,0,0,4,0,0
os89z3,8,9,5,0,4,0,1,0,0,0,2,0,0,0,1,0,0,0
os82r3,0,7,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
os7rpv,5,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
os7mcu,8,8,28,0,58,1,0,0,5,2,0,0,0,0,2,0,0,0
os6aaq,4,5,7,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0
os5ukt,4,2,5,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0
os5atq,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
os4vzi,5,8,4,0,5,0,2,1,0,1,0,0,0,0,0,1,0,0
os4fzt,7,7,9,0,5,0,4,2,0,0,0,9,0,0,0,1,0,0
os4dd9,11,6,12,1,16,0,17,0,1,5,0,0,0,0,1,0,0,0
os41j9,6,5,14,2,3,0,2,0,1,1,0,0,0,0,2,2,0,0
os4071,9,4,5,2,10,0,3,0,1,0,0,3,0,0,0,0,0,0
os3uhy,5,4,6,3,5,0,1,0,2,0,0,0,0,0,1,0,0,0
os3s99,41,14,20,0,50,5,6,0,2,0,1,0,0,0,0,0,0,0
os3nha,14,6,8,0,3,0,2,0,0,1,0,0,0,0,1,0,0,0
oscbxf,4,8,7,1,4,0,0,0,1,1,1,3,0,0,1,0,0,0
osc7sj,2,10,3,3,1,0,2,1,0,1,0,0,0,0,0,0,0,0
osbkl2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
osb7ij,3,4,2,0,6,0,1,1,0,1,0,0,0,0,0,1,0,0
osb165,11,11,8,0,11,0,5,1,0,0,0,2,0,0,1,3,0,0
osktot,13,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
oskron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oskpkv,2,14,8,4,0,4,3,0,0,0,0,0,0,0,0,4,0,0
oskj4m,7,12,3,4,7,0,1,1,0,0,0,1,1,0,1,3,0,0
osdlf9,9,2,2,2,9,0,2,0,0,0,0,2,1,0,0,0,0,0
osk5w8,8,9,10,0,15,0,9,1,1,0,0,0,2,0,0,0,3,0
osk4sl,5,7,1,2,3,0,7,0,0,1,3,0,0,0,0,0,0,0
osk0rj,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
osjkru,36,30,5,12,2,0,19,12,3,0,3,0,0,0,3,0,0,0
osjhcn,11,8,11,1,5,0,6,3,1,0,0,0,0,1,1,0,0,0
osjhck,10,10,8,1,10,0,8,0,0,0,2,0,1,0,0,0,0,0
osjc8b,6,4,2,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0
osjatg,19,16,12,0,17,0,7,0,4,0,0,0,0,0,0,1,0,0
osj4j0,1,5,7,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
osids6,16,12,10,1,12,0,0,1,0,1,0,0,0,0,0,1,0,0
osi5e8,14,10,7,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
oshzy7,9,26,10,7,33,0,3,6,4,1,0,0,0,0,0,0,0,0
oshl54,3,25,5,3,4,0,3,0,0,0,0,0,0,0,0,0,1,0
osgyjt,33,7,32,0,65,0,18,0,5,8,0,23,1,1,1,0,0,0
osgw2w,25,10,31,2,37,1,8,1,1,0,1,1,6,0,0,0,1,0
osgsm3,34,84,20,34,12,0,14,10,2,0,2,0,0,0,0,0,0,0
osftke,12,8,6,0,6,0,4,1,0,3,0,3,0,0,0,0,0,0
osfbfr,5,7,12,2,34,0,0,0,5,2,0,0,0,0,0,0,0,0
osdmfp,5,5,8,0,5,0,7,0,1,1,0,0,1,0,1,0,0,0
osdeke,4,3,6,0,4,0,5,1,4,4,0,0,0,0,1,0,0,0
osd48b,6,12,7,2,3,0,1,3,0,0,0,0,1,0,0,1,1,0
osrbfm,12,8,16,10,5,2,9,0,3,0,0,0,1,0,0,3,2,0
osr2z6,41,2,11,0,4,0,5,0,2,0,0,0,0,0,1,0,0,0
osr19l,9,4,3,0,8,1,6,0,0,1,0,0,1,1,0,0,0,0
osr0pi,45,7,42,0,45,2,10,1,7,12,1,2,0,0,3,0,0,0
osqcmi,6,3,5,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
osq6zz,7,0,5,0,6,0,2,0,0,0,0,0,2,0,0,0,0,0
osq76i,9,7,16,0,4,0,13,1,1,0,0,1,1,0,1,0,0,0
osp254,22,11,4,2,4,0,2,0,0,1,0,0,0,0,0,0,0,0
osow3l,11,24,10,3,11,0,3,0,0,0,0,0,0,2,0,3,1,0
osofpb,9,15,17,3,6,0,13,1,1,1,0,2,0,0,3,4,8,0
osnmeg,1,4,5,0,7,0,4,0,0,2,0,0,0,0,0,0,0,0
osn4i9,0,4,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0
osn32h,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
osmtgx,4,7,21,2,1,0,2,0,1,0,0,0,0,0,0,5,0,0
osmpqg,8,6,4,0,11,0,0,0,1,2,0,0,0,0,0,0,0,0
osmcna,15,9,9,2,7,0,6,0,0,0,0,0,0,0,0,0,1,0
osm6xs,3,0,1,2,5,2,0,0,1,0,0,0,1,0,0,0,0,0
osm2c6,20,10,5,8,3,1,0,2,1,0,1,0,0,0,0,0,0,0
oslmsg,5,2,2,0,1,0,0,3,1,1,1,0,0,0,0,0,0,0
oslivr,10,6,5,6,25,0,5,0,0,0,0,0,0,1,0,0,0,0
osl1i0,5,5,9,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0
osxnd1,12,3,7,0,5,1,6,9,0,0,0,0,0,1,0,0,0,0
osxiqo,13,10,13,17,13,2,11,1,1,0,1,1,0,0,0,0,0,0
osxipi,16,5,7,0,6,0,2,0,0,0,0,0,0,0,2,0,0,0
osx9oz,20,3,10,4,9,8,18,0,1,2,1,0,0,0,1,1,1,0
osx6su,14,7,11,0,14,0,4,0,1,3,0,0,0,0,0,0,0,0
osx5hc,20,30,16,6,9,0,7,1,2,0,0,4,0,0,1,3,0,0
osw9mu,10,16,17,2,7,1,2,0,0,0,0,0,0,0,0,0,0,0
osw2tq,2,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
osvqr6,14,2,6,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0
osvpt2,1,2,11,1,18,1,9,3,1,2,0,1,0,0,0,0,0,0
osvakt,17,7,10,4,13,0,4,0,0,3,0,1,0,0,0,0,0,0
osv977,24,15,13,0,1,3,9,0,1,0,3,0,0,0,0,0,0,0
osuzqv,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
osuxix,5,0,7,0,11,0,2,0,0,0,0,0,1,0,0,0,0,0
osutqh,19,0,5,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0
osu962,5,5,3,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0
osu0zf,2,3,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0
ostve8,8,3,8,3,17,1,13,0,1,1,0,0,0,0,0,0,0,0
ostmb2,2,4,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
ostc2v,8,1,2,0,5,0,1,0,0,1,0,3,0,0,0,0,0,0
ost56e,17,15,13,2,11,3,5,0,0,1,0,2,0,0,0,1,0,0
ost4r2,8,6,12,0,0,0,4,0,2,0,0,0,0,0,0,2,0,0
ossw7t,5,6,5,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0
ossb6f,31,24,27,2,14,36,22,0,1,1,0,1,1,0,0,3,0,0
oss1zd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
osrygg,20,3,5,0,2,0,1,0,1,3,0,0,0,0,2,0,0,0
osrmmm,10,9,11,0,8,4,1,0,0,0,0,0,3,0,0,1,0,0
osrknr,8,3,4,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0
osrk61,27,9,8,5,0,2,3,2,6,0,2,0,0,0,0,0,0,0
osrjpz,16,14,9,1,2,0,2,2,0,0,3,0,0,0,0,0,0,0
oszrhd,14,43,3,6,0,1,23,2,0,1,0,0,1,0,0,0,0,0
osz73n,3,2,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0
osyomc,5,6,7,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
osy61l,11,13,14,1,15,0,2,0,0,0,0,0,2,0,0,1,0,0
osy46k,8,23,10,0,3,0,6,0,0,0,0,0,0,0,2,0,0,0
osy24n,16,26,31,1,9,0,13,6,1,4,0,0,1,0,9,9,0,0
ot7z4a,10,4,10,0,8,1,2,0,1,1,0,0,0,0,0,0,0,0
ot7smb,29,10,29,2,7,0,12,2,4,0,0,0,1,0,0,7,0,0
ot7rvi,4,5,10,0,3,0,5,0,0,0,0,0,2,0,0,0,2,0
ot7pvm,11,7,10,0,7,1,4,3,0,2,0,2,3,0,0,0,0,0
ot6sar,11,4,5,8,14,0,0,0,0,0,0,0,0,0,1,0,0,0
osy5gn,13,14,11,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0
ot5r1k,6,11,14,1,22,0,3,0,0,0,0,1,0,0,0,0,0,0
ot5nm0,19,28,6,2,12,0,6,0,0,0,0,0,0,0,0,2,0,0
ot5fdh,4,2,11,3,13,1,7,4,2,0,0,0,0,0,1,0,0,0
ot503m,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ot4z14,9,4,8,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0
ot4wz8,19,9,17,0,21,0,4,0,2,5,0,0,14,0,0,0,0,0
ot4i9v,27,82,12,14,9,0,16,1,7,0,6,1,0,0,3,0,2,0
ot30ht,6,5,5,0,4,0,2,1,0,0,0,0,0,0,1,1,0,0
ot1is8,15,4,6,0,4,0,12,0,1,4,2,1,0,0,1,0,0,0
ot1f9m,3,9,5,2,2,0,9,0,0,1,0,0,2,0,0,0,0,0
ot0jxi,27,13,14,2,16,0,9,5,1,2,0,0,1,0,2,1,0,0
ot0i0q,33,8,14,0,22,0,5,0,0,1,2,0,0,0,1,0,0,0
otenvp,9,4,3,1,5,0,0,0,1,0,1,0,0,0,0,1,0,0
otehct,1,11,12,0,5,1,7,1,2,0,0,0,0,0,0,1,0,0
ote4na,25,18,21,4,24,0,11,0,4,4,2,0,2,0,0,4,8,0
otdn9l,4,4,3,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0
otdm51,2,4,3,1,1,0,2,0,0,0,0,0,0,0,9,0,0,0
otcoms,2,4,9,0,4,1,1,0,1,0,0,0,0,0,0,2,1,0
otc73r,11,26,22,11,9,0,9,0,1,0,2,1,1,0,0,0,0,0
otb2js,10,6,8,1,7,4,3,0,1,1,0,0,0,0,0,0,0,0
otc1h2,10,2,3,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0
otbvda,7,1,8,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0
otbd4n,8,20,8,0,1,0,1,1,2,1,8,3,0,0,0,0,0,0
otb72s,24,2,7,2,4,0,10,0,0,0,0,0,2,1,1,2,0,0
ot9k74,27,4,14,0,8,0,4,3,16,2,0,0,0,0,0,5,0,0
ot99q8,8,5,6,0,3,1,5,0,1,0,0,0,0,1,3,0,0,0
ot90id,10,20,24,0,30,0,4,0,3,1,0,0,1,0,0,0,1,0
ot8q69,19,4,4,1,11,1,3,5,0,0,0,1,1,0,0,0,0,0
ot8i2k,1,2,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0
otlqbe,6,2,9,0,2,0,5,15,0,0,4,0,1,0,0,0,0,0
otlp8t,4,6,3,0,0,0,4,3,0,0,0,2,0,0,0,0,0,0
otllx1,2,0,4,0,11,0,2,0,1,0,0,0,7,0,0,0,0,0
otldlg,3,14,4,0,0,0,4,7,1,0,6,1,0,0,0,3,0,0
otl7ru,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
otl6nh,18,20,20,1,20,0,6,0,1,0,0,0,9,0,0,0,0,0
otkx0c,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
otku26,6,10,22,2,18,0,6,0,0,0,0,2,0,0,1,0,0,0
otjqwv,12,1,9,1,8,0,4,4,1,0,0,0,1,0,4,2,0,0
otj4kh,12,4,13,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0
otixmm,4,2,3,2,2,0,2,0,0,0,0,0,0,0,1,1,0,0
otix6c,10,6,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
oth42k,4,0,8,0,19,1,4,0,0,0,0,0,0,0,0,0,1,0
oti7s8,6,8,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
oti5ur,21,7,19,5,18,1,2,1,0,1,0,0,1,0,0,2,0,0
oti0pa,15,9,7,3,17,2,3,1,0,0,0,0,0,0,0,0,0,0
othoio,22,6,23,0,18,0,3,0,1,1,0,0,0,0,0,0,0,0
othguh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otgvbu,3,3,6,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0
otgmd8,1,6,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
otg3f7,7,1,3,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0
otfycw,11,12,16,2,35,1,3,0,2,1,0,0,0,0,4,0,0,0
otfspx,6,1,8,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0
otfk3f,8,7,12,10,28,0,2,0,1,0,0,1,1,0,0,0,0,0
otevfb,8,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
otesvu,13,8,16,8,11,0,12,0,3,3,0,2,0,0,12,0,1,0
otn8hf,6,8,7,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
otn2fc,23,9,12,2,5,5,4,1,3,0,0,0,0,0,1,0,0,0
otmtwv,18,26,17,2,18,0,12,0,4,1,0,0,0,0,1,0,0,0
otmk7w,15,5,13,0,6,16,3,0,1,0,0,0,0,0,0,5,0,0
otm8f7,8,8,15,1,15,0,6,0,0,0,0,1,0,0,1,4,0,0
otvo4m,6,9,6,2,14,4,4,0,0,0,0,0,1,0,0,0,0,0
otv3yb,8,33,9,0,2,2,9,5,0,8,7,0,0,0,0,0,0,0
otut4y,3,3,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0
otqhqk,9,13,10,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0
otqla6,1,11,4,2,2,1,6,5,2,1,0,0,0,0,1,0,0,0
otu5a0,7,0,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
otu2jy,13,4,7,0,17,8,12,0,0,1,0,2,0,0,0,0,0,0
ottt6e,8,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
ottq77,14,29,5,8,9,0,1,1,0,0,0,0,0,0,0,0,0,0
otsa9a,7,20,0,0,0,0,6,0,4,5,12,0,0,0,0,0,0,0
otr6fs,8,2,4,1,2,1,1,0,2,0,0,0,0,0,1,0,0,0
otqngm,5,5,5,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0
otpsko,19,1,4,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0
otohmr,3,6,7,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0
otnyx0,22,2,5,0,2,0,3,0,2,5,0,3,0,0,0,0,0,0
otntmz,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
otns68,8,2,7,2,6,0,2,1,1,9,0,1,0,0,0,0,0,0
otzz86,7,4,4,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0
ou1vos,9,8,8,1,14,1,2,1,2,6,2,3,0,0,0,0,0,0
ou1swu,5,4,1,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0
ou1ilm,7,6,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
ou1b6t,15,18,18,1,3,4,5,3,0,0,5,3,0,0,0,0,0,0
ou0whd,17,12,15,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0
ou0sgj,14,8,15,7,5,0,8,1,3,0,0,1,0,0,1,1,0,0
ou0dub,4,7,7,0,5,6,4,0,1,0,0,0,0,0,0,0,0,0
ou0acg,9,2,5,0,7,0,1,0,1,0,0,1,0,0,0,2,0,0
ou01zz,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
otzyu2,4,6,7,1,6,0,2,0,0,7,6,0,0,0,0,0,0,0
otzwd1,7,15,4,8,4,0,3,0,1,0,0,0,1,0,0,0,0,0
otzar1,7,3,12,0,6,0,9,0,0,2,0,0,0,0,1,0,0,0
otza7d,31,16,21,2,14,5,3,2,0,0,0,0,0,0,0,6,0,0
otz99c,3,5,1,0,4,0,5,0,2,0,0,0,0,0,0,0,0,0
otz4vy,13,14,10,0,3,0,13,1,2,0,1,0,0,0,0,1,0,0
otysmr,2,4,8,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0
otyraq,42,10,21,9,12,28,5,0,1,2,0,1,1,0,0,0,0,0
otynhc,9,1,7,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0
otyfiu,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
otxvd5,2,9,3,1,2,0,2,1,0,0,2,0,0,0,0,0,0,0
otxj8x,1,2,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0
otxd1d,9,3,8,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0
otws30,7,3,19,0,1,3,6,0,0,0,0,0,0,0,1,11,0,0
otwrlk,18,6,8,4,16,0,3,0,0,0,0,0,0,0,0,0,1,0
otwok3,8,7,9,0,14,1,4,0,0,1,0,0,0,0,0,0,0,0
otwjlv,25,4,8,5,9,1,3,0,0,1,0,1,0,0,0,0,0,0
otwa68,16,8,10,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0
otw2m3,2,2,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
otvuh9,3,5,8,1,7,0,3,0,1,1,0,0,1,0,1,0,0,0
ou8yve,6,4,10,3,14,0,9,2,0,0,1,0,0,0,0,1,0,0
ou8myq,5,13,12,0,5,1,1,1,1,0,2,0,0,0,0,0,0,0
ou7u10,17,4,17,1,21,1,12,3,3,2,0,3,0,0,0,0,0,0
ou7r4t,6,2,8,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
ou7foo,9,8,7,0,9,0,2,1,0,0,0,0,0,0,1,2,0,0
ou7ff3,18,15,22,0,3,15,2,3,3,0,0,1,0,0,1,3,0,0
ou7e1q,9,1,10,0,5,0,2,0,0,1,0,2,0,0,0,1,2,0
ou7dx5,14,6,16,0,17,0,11,1,2,1,0,0,0,0,1,8,0,0
ou78j0,29,11,18,7,18,1,8,2,2,14,3,3,0,0,8,0,0,0
ou71te,18,4,13,1,9,1,5,0,0,1,0,3,0,3,4,0,0,0
ou6rhg,8,5,5,2,5,2,5,0,0,0,0,0,0,0,0,0,0,2
ou6qj2,14,6,11,0,5,0,5,0,0,0,0,0,0,0,0,3,0,0
ou6pgk,20,21,15,0,15,0,7,0,0,0,0,0,0,0,2,0,0,0
ou6n1r,4,5,9,0,18,0,4,0,0,2,0,1,0,0,0,0,0,0
ou6ghm,8,12,10,0,7,0,1,1,3,1,0,2,0,0,0,2,0,0
ou6d8o,17,24,25,5,11,0,16,4,0,0,0,4,0,0,4,1,0,0
ou6cgi,13,14,16,2,12,3,8,4,3,0,3,0,0,0,0,0,0,0
ou5xwm,18,2,3,2,13,3,2,0,0,1,0,0,0,0,0,1,0,0
ou5run,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ou5r8z,8,4,3,0,18,0,1,0,1,0,0,0,0,0,0,0,0,0
ou5e5y,12,2,3,0,12,0,3,0,2,0,0,0,0,1,1,0,0,0
ou5cds,2,8,11,18,7,0,3,0,0,0,0,0,0,0,0,0,0,0
ou4zk3,21,4,6,4,18,4,3,5,9,0,3,0,1,0,0,0,0,0
ou4y4s,15,5,1,2,8,1,2,0,0,0,0,2,0,0,0,0,0,0
ou4ro1,6,11,26,1,15,2,13,5,1,0,18,0,0,0,0,0,1,0
ou4nli,6,3,4,1,11,0,4,1,1,1,0,1,1,0,0,0,0,0
ou4i89,20,1,2,2,6,0,0,0,0,0,0,1,1,0,1,0,0,0
ou3oon,6,2,6,0,2,0,20,0,0,0,0,0,1,0,0,2,0,0
ou3685,1,3,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
ou30lm,18,3,9,0,19,1,10,0,0,1,0,2,0,0,0,0,0,0
ou2wtf,50,14,25,0,11,1,20,0,2,0,0,1,0,0,2,1,0,0
ou2r5i,5,7,8,0,4,0,2,2,0,1,0,1,0,0,0,0,0,0
ou2r15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ou2joh,12,11,13,1,9,0,3,1,9,0,0,0,0,0,1,3,0,0
ou28sc,39,5,12,1,7,0,0,0,0,0,0,0,0,0,3,3,0,0
ou27ko,12,13,6,4,4,0,2,2,0,0,0,0,0,0,1,0,0,0
ouaqno,10,2,3,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0
ouailg,22,10,19,3,37,0,14,0,2,1,0,0,0,0,3,3,0,0
oua5fx,49,5,18,2,14,0,3,0,1,7,1,2,1,0,12,1,0,1
