id,ORG,GPE,DATE,NORP,PERSON,MONEY,CARDINAL,LOC,ORDINAL,TIME,QUANTITY,FAC,WORK_OF_ART,LAW,PRODUCT,PERCENT,EVENT,LANGUAGE
opig0u,39,61,16,38,17,0,6,0,0,0,0,0,0,0,1,0,2,0
opid5c,0,3,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
opibbc,12,1,6,2,2,0,2,3,3,0,0,0,0,0,0,5,0,0
opi5u9,3,9,14,3,4,0,6,4,0,1,0,0,0,0,1,1,1,0
opi5m1,50,11,10,0,13,4,9,0,1,0,0,0,0,0,0,1,0,0
opi58x,20,9,10,5,18,2,8,3,1,0,0,0,1,0,1,2,0,0
ophxoi,6,1,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
ophv50,4,15,7,0,1,0,14,5,0,0,13,2,0,0,0,0,0,0
ophu16,6,6,20,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0
ophivn,34,29,18,11,17,1,2,1,0,0,0,0,0,1,0,0,0,0
oph98w,20,0,3,0,3,0,0,1,0,2,0,0,0,0,1,0,0,0
opgveh,13,24,5,5,9,0,11,0,1,1,0,2,1,0,0,0,0,0
opgmje,1,13,2,1,7,6,3,0,0,0,0,0,0,0,0,2,0,0
opg62i,17,24,6,5,9,3,1,0,0,0,0,0,0,0,0,0,0,0
opff1f,3,9,7,2,4,0,4,0,1,1,2,2,0,0,0,0,1,0
opfap8,6,4,3,0,1,2,2,0,0,0,2,1,0,0,0,0,0,0
opf5h2,9,14,8,0,11,0,10,1,0,0,0,0,0,1,1,0,0,0
opf4ye,17,3,5,2,4,0,8,0,0,1,0,0,8,0,1,0,0,0
opexke,5,3,3,0,0,2,3,0,1,0,1,0,0,0,0,0,0,0
opewjc,6,6,3,0,3,0,6,0,1,2,0,1,0,0,0,0,0,0
opev5a,20,6,5,0,11,3,7,1,0,1,0,0,0,1,0,0,0,0
opeuyu,10,10,22,4,13,0,4,0,1,1,0,3,0,0,1,2,7,0
ope9ex,24,14,7,0,10,5,6,0,2,0,0,0,0,0,0,1,0,0
ope6ky,12,8,9,1,11,0,2,0,1,7,1,1,0,0,0,0,0,0
opdziu,15,21,3,3,3,0,3,2,0,0,0,0,0,1,0,0,0,0
opdxa6,10,3,3,0,4,0,2,2,0,3,3,0,0,0,2,1,0,0
opdo4m,5,5,24,0,0,1,14,0,0,1,0,0,0,0,0,0,0,0
opde1n,18,24,15,2,14,0,3,0,1,0,0,0,0,1,0,0,0,0
opd5m5,8,10,7,2,4,2,12,0,0,0,0,3,0,0,0,0,0,0
opcw8n,10,7,3,4,12,0,4,1,0,2,0,0,0,0,0,0,0,0
opclbo,26,2,9,3,18,0,3,0,0,0,1,0,2,0,0,0,0,0
opckmw,2,2,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0
opcbz1,1,5,4,2,4,0,1,0,3,0,0,0,0,0,0,0,0,0
opc197,24,4,14,0,71,0,10,0,2,3,0,0,0,0,0,0,0,0
op22hr,11,1,4,1,14,0,5,0,0,0,0,0,0,0,1,0,0,0
oppheq,5,19,14,1,13,0,7,0,3,0,2,0,0,0,1,1,0,0
opot3q,6,2,3,0,1,0,8,0,1,0,0,0,0,0,0,3,0,0
opo9ft,6,10,7,4,18,0,1,0,0,0,0,0,1,2,1,0,0,0
opngdh,1,7,10,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0
opmre2,9,6,16,1,4,0,3,0,0,0,0,0,1,0,0,11,0,0
opml2g,29,43,18,11,19,1,33,1,2,0,3,2,2,0,0,1,0,0
oplfil,36,19,13,2,8,1,4,0,0,0,0,0,0,5,0,4,0,0
oplea7,22,6,3,0,8,1,5,3,1,0,2,0,1,0,0,0,0,0
opk8b0,9,7,18,0,4,0,10,1,3,5,0,3,0,0,0,0,0,0
opl2ya,2,0,4,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0
opl0n9,15,1,10,0,2,0,8,0,0,0,0,0,0,0,2,4,0,0
opkwsb,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
opkvun,7,1,1,0,0,1,3,0,0,1,0,0,2,0,0,0,0,0
opkm3u,44,22,11,0,11,0,12,0,2,1,0,1,0,0,0,0,0,0
opk7ep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opk3uy,10,7,12,1,20,16,3,0,0,0,0,0,0,0,0,0,0,0
opk199,2,6,7,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0
opjsk4,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0
