id,FAC,DATE,CARDINAL,GPE,ORG,PERSON,TIME,WORK_OF_ART,ORDINAL,LOC,NORP,PRODUCT,MONEY,LAW,EVENT,PERCENT,QUANTITY,LANGUAGE
ozh7ju,0,15,11,19,22,11,0,0,2,11,1,3,0,0,2,6,0,0
ozeduw,0,10,2,9,13,2,0,1,1,0,2,2,0,0,0,6,0,0
ozfo3c,0,9,3,6,8,6,0,0,0,0,0,0,0,0,0,0,0,0
ozej2h,1,28,6,12,17,15,0,2,2,2,0,0,0,0,1,0,0,0
ozdtrw,0,4,7,8,28,1,1,1,0,0,0,1,2,0,0,0,0,0
ozflcd,1,17,5,1,10,2,0,0,0,0,0,2,0,1,0,2,1,0
ozfpo4,0,30,23,2,3,4,1,0,4,0,2,1,0,0,0,0,0,0
ozacly,0,2,2,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0
ozgop1,1,7,5,13,8,2,0,0,1,2,3,0,0,0,0,2,0,0
ozhzsh,0,11,10,11,21,20,3,1,5,6,0,0,0,0,0,2,0,0
oziw69,0,8,12,7,5,10,2,0,0,0,1,1,0,1,0,0,0,0
ozj9pa,0,9,6,1,10,7,0,0,0,0,0,0,0,2,0,0,0,0
ozhpx6,0,4,4,6,6,14,0,0,1,0,0,0,7,0,0,0,0,0
ozidvh,0,9,6,12,5,8,0,1,0,2,5,0,0,0,0,0,0,0
ozhgxu,0,9,10,3,2,8,1,0,0,0,0,0,0,0,0,0,0,0
ozlpmp,0,2,0,1,4,4,0,0,0,0,1,0,0,0,0,0,0,0
ozmawb,0,6,11,4,10,37,3,0,1,0,0,0,0,0,0,0,0,0
oznfy0,0,25,6,5,26,16,0,0,1,0,0,1,0,0,0,1,0,0
ozosbm,0,9,7,9,4,10,0,0,1,2,2,2,0,0,0,2,0,0
ozr1un,0,12,8,5,7,6,1,0,2,0,0,1,0,0,0,0,0,0
ozknfe,0,9,3,9,17,5,0,1,0,2,0,5,0,0,0,1,0,0
ozk3ww,1,10,4,6,4,2,2,0,1,2,0,0,0,0,0,0,3,0
ozop3w,0,13,12,15,7,4,2,0,1,2,0,1,0,0,0,2,2,0
ozotzi,0,6,4,5,11,7,0,0,1,0,5,0,0,0,0,0,0,0
ozm2xa,0,8,2,4,2,11,0,0,0,0,5,0,0,0,0,0,0,0
ozl3q1,1,5,3,1,4,1,2,0,0,2,0,0,0,0,0,0,3,0
ozivvi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ozqc0f,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ozkcx8,0,11,1,3,26,2,0,0,3,9,0,0,0,0,0,0,4,0
ozs7tb,2,16,7,8,14,16,0,0,0,0,0,0,0,0,0,2,0,0
oztu8f,0,17,14,3,7,6,0,0,0,0,1,0,0,0,0,7,0,0
ozsmcv,0,9,3,12,23,3,0,0,1,0,0,3,0,0,0,0,0,0
ozsot8,0,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ozs30q,1,21,0,12,17,14,0,0,2,0,0,0,6,0,0,4,0,0
ozseie,0,7,7,10,16,12,0,1,0,0,0,0,1,0,0,1,0,0
ozuxo1,6,8,13,16,17,32,9,0,4,1,1,9,2,1,0,0,0,0
ozrwzr,0,9,2,19,14,11,1,0,0,1,1,0,2,0,0,0,0,0
ozsscy,1,18,12,49,39,8,0,0,1,1,17,0,0,0,0,1,0,0
ozwtl9,0,10,2,16,7,15,0,1,2,2,7,0,1,0,0,2,0,0
ozvbma,0,2,4,7,6,3,0,0,0,3,2,0,0,0,0,0,2,0
ozvecv,2,15,5,25,24,18,0,0,14,0,3,2,0,0,0,1,0,0
ozu3p8,2,2,5,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0
ozwrdb,0,16,13,22,5,14,2,1,4,5,1,0,0,0,0,0,1,0
ozrnkd,1,5,6,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0
ozotyv,0,12,3,17,13,10,0,1,0,2,0,0,1,0,0,0,1,0
ozsy0l,0,4,2,4,16,2,0,0,0,0,0,0,0,0,0,1,0,0
ozudhg,0,0,0,3,2,2,0,0,1,0,0,1,0,0,0,0,2,0
ozwvye,1,24,2,41,6,15,4,1,4,0,17,5,1,0,0,0,1,0
ozxrzg,0,2,3,3,2,2,0,0,0,0,0,1,0,0,0,1,0,0
ozy63p,0,8,5,3,8,13,2,0,1,4,1,1,0,0,0,0,0,0
p00qy2,1,12,3,6,3,17,0,7,1,0,0,0,0,0,0,0,0,0
p035qk,0,13,5,5,12,20,2,5,1,2,0,1,0,0,1,0,0,0
p03bkz,0,3,8,11,19,2,0,0,1,0,0,0,0,0,0,2,0,0
ozyafh,0,14,10,6,34,13,0,0,0,1,4,0,0,0,0,2,0,0
ozt5vt,0,14,1,5,7,31,2,0,1,0,0,0,0,0,0,0,1,0
p03f8o,3,22,7,19,6,10,3,0,0,7,0,2,0,0,0,1,7,0
p0392v,0,18,7,8,2,3,0,0,2,3,1,2,0,0,0,1,0,0
p04f1m,1,3,1,2,1,7,2,1,1,0,0,0,0,0,0,0,1,0
p03psu,2,6,0,5,4,4,1,0,0,0,0,0,0,0,0,0,1,0
p052yj,1,5,2,10,7,7,0,1,1,0,5,0,0,0,0,0,0,0
ozuiwu,3,12,4,17,10,5,4,0,1,0,1,0,0,0,0,0,0,0
p06bbd,0,9,7,13,5,1,0,0,2,0,1,0,0,0,0,7,0,0
p0bzfh,2,10,2,2,7,11,0,0,0,0,0,0,0,0,0,0,0,0
p05ow4,0,2,0,9,2,8,1,1,0,0,0,1,0,0,0,0,0,0
p0c07n,1,11,2,11,7,15,0,0,0,0,0,1,0,0,0,0,0,0
p079d0,0,0,0,1,4,0,0,2,0,0,0,1,0,0,0,0,0,0
p07dmj,6,24,22,36,14,9,7,0,0,9,0,0,0,0,0,2,8,0
p0bvud,0,13,10,13,10,2,1,0,2,0,3,0,10,0,0,0,0,0
p065lq,4,12,4,4,16,8,0,3,1,13,6,0,0,0,0,0,3,0
p0abvi,1,33,14,67,85,32,0,1,2,0,29,0,0,0,0,0,4,0
p0bhm2,0,13,0,13,6,5,0,0,0,0,6,0,2,0,0,0,0,0
p0cq3c,0,0,2,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0
p0cqy1,1,24,9,10,23,22,1,0,4,4,0,0,0,0,1,0,0,0
p0f0g4,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
p0dqjn,0,7,14,12,10,7,0,0,0,0,0,0,0,0,0,0,0,0
p0gmgm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0f2e2,4,22,1,16,21,11,2,0,0,0,0,2,0,0,0,2,5,0
p0eaj5,0,8,7,3,4,9,0,0,1,0,0,0,1,0,0,1,1,0
p0gcw7,0,2,6,6,0,3,1,0,0,0,0,0,0,0,0,0,2,0
p0iefo,0,12,11,12,7,22,3,0,0,0,0,0,0,0,0,0,0,0
p0gb4r,0,13,3,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0
p0crz8,2,15,4,22,23,25,5,0,0,2,0,0,0,1,0,0,5,0
p0ink2,0,15,7,10,29,13,0,1,0,0,0,1,0,1,1,0,0,0
p0ikmr,0,11,5,18,18,7,1,0,0,1,4,0,0,0,0,0,0,0
p0lrik,0,25,9,13,17,17,2,0,3,3,3,0,0,0,0,4,0,0
p0kfpp,0,7,6,7,7,10,0,1,1,3,3,0,0,0,0,1,0,0
p0iyve,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
p0nl9w,0,12,3,20,22,13,0,2,1,2,0,1,0,0,0,1,0,0
p0n5qt,0,20,8,4,12,13,0,0,4,5,0,0,0,0,0,4,3,0
p0mnc2,0,1,0,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0
p0mfni,0,1,6,4,2,7,2,0,1,0,0,0,0,0,0,0,1,0
p0n0n7,0,0,1,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0
p0mgaj,0,5,6,5,3,23,0,3,4,0,0,0,0,0,0,0,0,0
p0lm4z,0,4,3,1,19,1,0,0,0,0,1,0,1,0,0,1,0,0
p0kuwt,1,13,15,11,10,18,10,0,8,0,3,0,0,0,0,0,0,0
p0o5bt,1,12,18,44,53,21,1,0,2,0,5,1,0,0,0,1,0,0
p0jtmf,1,4,2,6,0,0,1,0,0,4,1,0,0,0,0,0,0,0
p0jumr,0,19,7,10,55,66,1,1,0,0,9,1,0,0,0,0,0,0
p0l02h,0,2,0,5,10,1,0,0,0,0,0,0,1,0,0,0,0,0
p0mw5w,0,2,6,3,0,1,1,0,0,0,3,0,0,0,0,0,0,0
p0p0tg,0,0,3,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0
p0n59g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0oygb,0,15,1,0,7,7,0,2,0,0,0,0,0,0,0,4,0,0
p0l58q,2,1,5,3,8,4,2,0,1,0,0,0,0,0,0,0,0,0
p0njkr,0,2,8,5,2,0,2,0,1,0,0,1,1,0,0,0,0,0
p0mg1z,0,9,1,14,8,13,0,0,1,0,0,0,1,0,0,0,2,0
p0q83y,0,5,1,10,5,2,2,0,3,0,1,1,0,0,0,0,0,0
p0pnbs,0,7,0,1,2,3,0,0,0,0,0,1,0,0,0,0,0,0
p0qqih,1,2,3,4,8,32,2,2,0,0,0,2,0,0,0,0,2,0
p0q8x0,0,5,5,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0
p0qmxg,0,4,0,6,6,4,0,0,1,0,4,0,1,0,0,3,0,0
p0put5,1,0,6,3,7,2,2,0,2,1,0,0,0,0,0,0,0,0
p0os6j,4,15,4,23,7,8,3,0,5,0,11,0,0,0,0,0,1,0
p0resu,0,28,3,9,20,7,1,0,1,3,0,1,0,0,0,0,0,0
p0s4vd,0,6,0,11,7,12,0,1,1,1,10,1,2,1,0,3,0,0
p0rfqx,0,8,2,7,5,10,0,1,0,2,0,1,0,0,0,1,0,0
p0rio8,1,5,0,0,5,7,0,0,1,0,0,0,0,1,0,0,0,0
p0rn95,0,43,9,26,7,0,1,0,0,15,0,0,0,0,0,0,5,0
p0tuzg,0,7,4,9,11,7,0,0,0,0,0,0,0,1,0,0,0,0
p0x2gt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p0rdxv,0,4,8,7,4,2,0,0,0,0,0,0,8,0,0,0,0,0
p0ty1g,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
p0vcve,0,4,2,2,2,6,0,0,1,0,0,0,0,0,0,0,1,0
p0u7bh,0,12,3,10,5,6,0,1,0,0,11,1,0,0,0,1,0,0
p0yhkt,1,2,0,5,7,0,1,0,0,1,0,0,0,0,0,0,0,0
p0rpam,0,9,6,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0
p0wjr9,0,28,16,20,41,20,2,0,0,6,3,0,0,0,0,9,0,0
p0vixg,4,21,4,62,15,25,10,1,1,2,13,1,3,0,0,0,2,0
p0wcta,0,14,8,4,10,10,1,0,3,0,0,0,5,0,0,0,0,0
p0yyh1,0,9,3,5,5,3,0,0,1,2,1,0,3,0,0,0,0,0
p0v4gg,1,5,1,3,9,3,0,1,0,1,0,0,0,0,0,0,0,0
p0x8ef,6,13,4,47,28,5,0,0,1,1,9,0,2,0,0,0,0,0
p0xan8,1,18,5,4,8,12,0,1,0,3,0,0,1,0,1,0,0,0
p0w1zw,0,6,4,4,0,10,2,0,1,0,1,0,0,0,0,0,0,0
p0ybka,1,1,3,9,0,1,0,0,0,0,3,0,0,0,0,0,0,0
p0wr2g,0,5,4,12,7,6,0,0,0,0,1,1,0,0,0,0,0,0
p10v98,3,1,5,3,5,1,2,0,0,1,0,0,0,0,0,0,0,0
p11qcy,0,10,10,6,10,33,0,0,1,0,0,0,4,0,0,1,0,0
p13acj,3,3,2,8,10,2,1,0,0,0,0,0,0,1,0,0,0,0
p135vq,0,22,15,16,18,6,0,0,0,0,0,1,0,0,0,9,0,0
p11xy2,2,7,22,17,46,34,0,1,1,4,0,3,5,0,0,0,0,0
p0zgh8,0,7,5,5,8,2,0,0,0,0,1,0,0,1,0,0,0,0
p13w9g,0,5,8,7,7,3,0,0,0,0,0,0,0,0,0,2,0,0
p153sj,0,2,3,4,13,2,1,0,0,0,0,0,2,0,0,0,0,0
p15i8g,2,19,11,10,35,37,0,0,1,1,5,1,0,1,0,6,0,0
p10kkg,0,12,1,17,21,15,1,0,2,2,0,0,0,0,0,3,0,0
p12ago,0,10,2,26,6,22,0,0,2,1,6,0,0,0,1,0,0,0
p117vl,0,9,6,7,6,8,1,0,2,0,3,1,0,0,0,0,0,1
p12z1h,0,26,7,19,45,18,1,0,2,3,0,0,12,0,0,3,0,0
p14ng7,0,11,3,14,20,8,2,0,4,0,5,0,0,0,1,0,0,0
p15np8,0,15,11,9,47,12,2,1,1,0,1,2,1,0,0,5,0,0
p0w2h9,1,7,0,7,4,23,0,0,3,0,0,1,0,0,0,0,0,0
p17hn5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p16d12,2,9,3,1,4,4,4,0,1,1,1,0,0,0,0,0,0,0
p177cl,0,46,27,42,80,26,1,1,5,5,9,1,1,0,0,15,0,0
p17gny,0,6,5,7,6,11,0,1,0,0,0,1,0,0,0,0,0,0
p1aq20,1,38,10,23,38,56,0,0,4,1,1,0,0,0,0,0,0,0
p19vnz,0,9,8,6,5,17,0,0,1,0,0,0,0,0,0,0,0,0
p1amxe,1,16,16,14,39,14,1,0,1,1,5,0,0,0,0,4,0,0
p17nic,0,11,0,8,11,18,3,0,2,1,1,0,0,1,1,0,0,1
p16ass,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
p1bq1x,0,10,4,10,23,5,0,0,0,0,2,0,9,0,0,0,0,0
p1b3qq,0,2,5,4,2,3,0,0,0,0,0,1,0,0,0,1,0,0
p1b3sl,0,27,3,11,25,19,1,0,2,0,1,1,0,0,0,4,0,0
p1aakw,0,13,11,12,19,9,1,0,1,0,1,3,1,0,0,1,0,0
p196kd,3,31,2,14,12,30,0,5,2,0,0,2,0,0,0,0,0,0
p17m30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p166oq,0,22,12,2,4,3,0,0,0,1,1,0,0,0,0,1,0,0
p1bneh,0,4,0,3,3,4,0,0,0,0,0,0,1,0,0,0,0,0
p1ajni,1,13,11,9,34,5,0,0,2,2,0,3,0,0,0,3,0,0
p179sx,0,8,1,2,6,21,1,4,3,1,3,0,0,2,0,0,0,0
p1a5wz,0,9,2,1,5,7,1,0,2,0,0,2,0,0,0,0,0,0
p181iy,0,11,5,9,16,14,0,0,0,1,2,1,1,0,0,1,0,0
p1bdoh,1,6,2,12,4,4,2,0,0,1,0,0,0,0,0,0,7,0
p1aa0p,0,12,11,4,46,23,1,1,6,0,0,0,0,3,0,0,0,0
p175d7,1,10,2,8,6,6,1,0,0,1,4,0,0,0,0,0,0,0
p17edn,0,8,2,1,8,12,0,0,2,0,0,0,0,0,0,0,0,0
p1e3cv,1,10,8,10,12,12,0,0,1,0,1,0,0,0,0,4,1,0
p1da0e,0,15,7,11,5,20,0,1,1,1,0,0,0,0,0,0,0,0
p1dywn,0,40,20,28,26,10,1,1,1,0,1,4,2,1,0,18,1,0
p1c82p,0,8,20,22,100,14,1,1,1,2,1,1,4,2,0,0,1,0
p1bo7l,1,12,1,8,5,11,0,3,1,1,0,0,0,0,0,0,1,0
p1a7md,0,29,19,11,32,21,2,7,1,2,3,4,0,0,0,9,0,0
p1gee7,0,23,14,18,34,10,1,0,0,4,3,0,0,0,0,6,0,0
p1f459,0,0,0,2,3,7,1,0,0,0,0,0,0,0,0,1,0,0
p1g6ju,0,4,18,21,5,1,0,0,0,1,0,0,0,0,0,3,0,0
p1m9f5,0,5,3,1,7,11,0,1,1,0,1,1,0,0,0,0,0,0
p1jn6e,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
p1jm2r,1,26,5,27,11,15,0,0,1,5,3,1,0,0,1,3,0,0
p1ib8n,0,2,4,5,9,5,0,0,3,0,0,4,0,0,0,0,1,0
p1fmks,4,21,4,62,15,25,10,1,1,2,13,1,3,0,0,0,2,0
p1ewa2,0,15,8,26,38,29,0,0,2,0,18,0,0,2,0,0,0,0
p1gkm9,0,20,4,6,16,19,0,0,0,0,3,0,1,0,0,1,0,0
p1kdvf,0,10,4,7,8,32,1,0,2,0,0,1,0,1,0,0,0,0
p1hv2b,0,10,6,32,9,27,2,0,0,0,11,0,0,0,0,1,1,0
p1le9l,0,19,5,20,26,11,2,0,2,0,2,0,0,0,0,0,0,0
p1lscv,0,76,45,7,31,13,0,2,2,20,0,0,0,1,0,2,11,0
p1mwgt,2,16,10,31,43,100,0,2,1,1,1,2,6,3,3,0,0,0
p1k4jp,0,18,12,4,4,0,0,0,1,0,2,0,0,0,0,4,0,0
p1kequ,0,36,20,16,16,15,0,1,0,0,2,0,0,0,1,2,0,0
p1imcc,0,10,3,18,3,19,0,0,2,0,11,0,0,0,0,0,1,0
p1k54y,0,5,1,6,4,5,0,0,0,0,2,0,0,0,0,0,0,0
p1oyj0,0,7,0,1,5,7,2,1,1,0,0,0,0,0,0,0,0,0
p1sb2x,0,24,4,12,15,46,0,0,3,2,4,0,0,0,0,0,0,0
p1pmb7,0,9,5,1,28,18,2,0,0,1,0,0,2,0,0,0,0,0
p1ovu6,1,11,6,6,7,3,1,0,1,0,0,0,0,0,1,0,0,0
p1pggs,0,6,2,4,12,2,0,0,2,4,1,0,0,0,0,0,0,0
p1qaux,0,10,3,17,10,11,0,1,1,0,1,0,0,0,0,0,0,0
p1rjzp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1qvcs,1,6,13,6,7,6,0,1,0,1,0,2,0,0,0,5,0,0
p1mq5r,0,2,1,19,16,6,1,0,0,2,0,0,0,0,0,5,0,0
p1oc34,0,7,6,5,6,16,0,0,1,1,1,0,0,0,0,2,0,0
p1oeml,0,8,7,5,15,12,0,0,0,6,1,0,1,0,0,2,0,0
p1pmhr,0,10,8,5,6,1,1,0,4,5,0,0,0,0,0,0,0,0
p1rr0c,0,10,10,7,9,15,3,0,2,0,1,1,1,0,0,0,1,0
p1p73g,0,4,6,8,9,6,3,0,0,0,0,1,0,0,0,0,0,0
p1m55s,0,5,1,4,3,3,0,0,0,0,0,0,1,0,0,0,0,0
p1r49b,0,2,4,2,6,3,0,0,1,1,1,0,0,0,0,1,0,0
p1n7ci,0,5,0,2,3,2,0,0,1,4,0,2,0,0,1,0,1,0
p1o391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1o7j6,0,5,6,3,11,1,0,0,2,0,1,0,0,0,0,2,0,0
p1rept,0,7,7,18,28,11,1,0,1,0,7,1,0,0,0,1,0,0
p1r5un,0,15,12,43,41,20,1,0,0,0,13,1,1,0,0,1,0,0
p1obi2,0,10,9,24,18,1,0,0,1,3,7,0,1,0,0,0,0,0
p1mm6l,0,16,7,8,10,10,0,1,2,0,9,0,0,0,0,0,0,0
p1vo9c,0,7,2,4,9,11,1,0,1,0,0,1,0,0,0,0,0,0
p1v9tg,0,14,15,6,15,7,1,0,0,1,0,0,0,0,0,3,0,0
p1xxd9,0,16,8,14,15,17,0,0,2,2,1,2,0,0,0,2,0,0
p1uyr7,0,5,2,6,21,10,0,0,0,1,0,0,0,0,0,0,0,1
p1yely,0,16,19,11,19,21,1,1,1,1,0,8,0,0,0,6,0,0
p1zc0k,0,5,3,2,9,4,1,0,0,1,1,1,2,0,0,3,0,0
p1zzw5,0,25,5,11,39,15,1,1,2,0,2,1,4,0,0,5,0,0
p1v4vj,0,24,10,33,12,31,5,0,2,1,2,2,1,0,0,3,0,0
p1wuwg,0,7,4,1,4,0,0,0,1,0,0,0,0,0,0,3,0,0
p1um9b,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
p1vnv3,1,10,8,12,18,5,0,0,0,0,2,3,0,0,0,2,0,0
p1xe1q,0,5,3,0,14,3,0,0,0,0,1,0,8,0,0,0,0,0
p208og,0,19,1,19,13,15,1,1,4,0,2,0,0,0,0,1,0,0
p1vw56,0,4,3,3,5,1,0,0,2,0,0,0,0,0,0,0,0,0
p1tirn,0,15,3,19,10,42,0,1,4,1,6,0,0,0,0,0,0,0
p2040v,2,4,4,16,4,6,1,0,3,1,3,0,0,0,0,0,1,0
p1upiw,0,1,1,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0
p1t6pr,0,2,3,3,1,1,0,0,0,1,3,0,1,0,0,0,2,0
p1whxn,0,5,2,4,4,3,0,0,0,1,1,0,0,0,0,0,0,0
p216yq,0,6,8,5,7,7,0,0,0,0,0,1,0,0,0,1,0,0
p21dos,1,5,4,4,11,2,1,1,1,0,0,3,0,0,0,0,0,0
p217r8,0,9,9,5,8,6,1,0,2,3,0,0,0,0,0,3,0,0
p21ejj,0,4,0,1,7,5,0,0,0,1,0,0,0,0,0,1,0,0
p21po7,1,15,1,17,10,13,0,0,0,2,1,0,5,0,1,2,1,0
p1zry4,0,10,0,7,2,3,1,0,1,0,5,0,0,0,0,0,0,0
p21vm8,0,7,3,3,20,23,0,0,0,1,0,0,0,0,0,1,0,0
p1zam5,0,8,9,2,10,4,0,0,0,0,0,1,0,0,0,0,0,0
p24cn8,0,3,0,2,5,7,0,0,1,0,0,1,0,0,0,0,0,0
p24puf,0,1,2,4,22,38,1,0,1,0,0,0,1,0,0,0,0,0
p260qj,0,1,1,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0
p233xa,5,12,2,14,10,12,1,1,1,2,0,0,0,0,0,1,2,0
p26yf5,0,17,8,13,18,17,2,0,1,0,0,3,0,0,0,5,0,0
p243ka,0,9,4,17,5,4,0,0,1,3,3,0,2,0,0,2,1,0
p29689,0,1,1,5,8,1,0,0,0,0,4,0,0,0,0,0,0,0
p26jwi,2,40,5,26,17,19,0,0,1,0,3,1,0,0,0,0,0,0
p28q4h,0,0,0,2,4,6,0,1,0,0,0,2,0,0,0,0,0,0
p2asbc,0,12,2,28,6,18,0,0,0,0,7,3,0,0,0,0,0,0
p23yuh,0,8,7,16,30,17,0,0,0,3,1,1,0,0,0,0,0,0
p261vt,1,5,3,7,2,8,3,0,0,0,0,0,0,0,0,0,0,0
p29wz8,0,0,3,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0
p236w3,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
p28z7c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p29evw,4,11,4,3,18,5,0,1,1,0,0,1,0,0,0,4,0,0
p26u8n,0,4,2,4,4,4,1,0,0,1,0,0,0,0,0,0,0,0
p2afxs,0,4,0,2,2,1,0,0,0,0,5,0,0,0,0,0,0,0
p25fs1,1,2,2,3,6,6,1,0,0,0,0,0,0,0,0,0,0,0
p25xzq,0,13,20,11,19,16,1,0,1,1,1,1,1,0,0,1,0,0
p2dbp9,0,8,2,17,4,10,0,0,0,0,0,2,0,0,0,0,0,0
p2brny,0,13,1,11,10,14,0,0,0,0,1,0,0,0,0,0,0,0
p2dypf,0,12,10,6,11,11,0,0,3,1,0,0,0,0,0,0,2,0
p2be1c,0,12,0,6,11,8,1,0,0,1,3,0,1,0,0,0,0,0
p2dqzc,0,4,5,9,2,15,0,0,1,0,0,0,0,0,0,0,0,0
p2fyge,0,16,16,14,15,9,0,0,1,1,1,3,0,0,0,7,1,0
p2fd9j,0,4,6,3,7,24,1,0,0,0,0,0,0,0,0,0,0,0
p2ghjh,0,43,8,26,50,25,1,0,1,0,9,3,3,0,0,17,0,0
p2d769,0,4,0,1,6,1,3,0,0,0,0,0,0,0,0,0,0,0
p2blit,0,10,1,21,6,5,4,0,1,5,1,0,0,0,0,0,4,0
p2ckib,0,10,6,6,10,16,1,0,1,0,1,0,0,0,0,0,0,0
p2g0kr,0,18,2,1,19,5,0,0,1,0,0,0,2,0,0,12,0,0
p2b802,1,5,4,15,11,10,1,0,2,0,0,12,0,0,0,0,0,0
p2cc52,0,2,3,1,17,4,2,0,0,0,0,0,5,0,0,0,0,0
p2gqjd,0,23,11,15,18,18,0,0,0,0,1,5,0,0,0,5,0,0
p2b6wa,0,12,12,14,7,8,0,0,0,0,4,1,0,0,0,0,0,0
p2ecfm,0,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
p2f9zb,1,14,3,5,12,22,2,0,1,0,0,0,1,0,0,0,0,0
p2ddba,0,4,4,5,7,4,0,0,0,0,0,0,4,0,0,0,0,0
p2exys,0,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
p2e6ck,0,9,8,11,10,10,0,0,1,2,5,3,0,0,0,0,0,0
p2cb92,0,26,5,2,8,3,0,0,1,0,4,0,1,0,0,13,0,0
p2g2ye,0,20,10,28,19,12,1,0,0,0,10,1,2,0,0,0,0,0
p2cdli,0,21,6,31,27,20,0,1,2,0,12,0,1,0,0,1,0,0
p2gpkx,0,5,1,0,13,1,4,0,3,0,0,0,0,1,0,0,0,2
p2dq0j,0,7,3,4,3,1,0,0,0,0,0,0,3,1,0,0,0,0
p2iunb,0,26,4,9,16,7,0,0,5,1,2,2,0,0,0,5,0,0
p2ify4,1,11,2,7,14,0,0,0,1,0,0,0,0,0,0,1,0,0
p2lfbf,0,15,3,13,5,20,3,1,0,0,2,1,1,1,0,0,0,0
p2mzsn,0,16,3,6,8,7,3,2,0,1,0,0,0,1,0,0,0,0
p2lv0w,2,26,7,7,6,9,0,1,0,0,0,0,2,0,0,0,0,0
p2hv1r,0,48,26,42,32,65,4,0,5,1,6,0,14,1,0,4,2,1
p2m0m1,0,7,6,10,7,9,0,0,1,0,4,0,0,1,1,2,0,0
p2hvhx,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
p2lo2d,0,1,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0
p2kk9j,0,3,0,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0
p2nfmo,0,4,4,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0
p2h2ny,0,8,4,5,15,8,2,0,2,0,0,0,0,0,0,0,2,0
p2i9i0,0,11,0,6,9,4,0,0,1,0,1,0,1,0,0,2,2,0
p2ngmw,0,6,6,15,3,2,1,0,0,4,3,0,0,0,0,0,1,0
p2jw26,0,4,6,6,11,12,0,1,0,0,0,1,0,0,0,0,0,0
p2j5c6,0,1,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0
p2kld2,0,9,3,10,18,14,1,1,2,0,13,0,0,0,4,0,0,0
p2pw50,0,13,3,16,10,12,0,0,0,0,3,0,0,0,0,0,0,0
p2onsk,0,3,2,6,7,2,1,0,1,0,0,0,4,0,0,1,0,0
p2oy2m,0,15,9,9,11,12,1,0,0,0,0,0,0,0,0,0,0,0
p2phuh,1,5,0,5,5,1,1,0,1,1,0,0,0,0,0,0,1,0
p2qg89,0,4,3,2,27,22,0,0,2,0,0,0,2,1,0,0,0,0
p2ouvr,0,2,0,7,13,5,0,0,1,1,2,1,0,0,0,0,0,0
p2oxxf,0,6,3,2,12,13,0,0,1,0,1,0,0,0,0,5,0,0
p2o1tc,0,13,8,1,8,25,0,0,5,0,0,0,0,0,1,0,0,0
p2oxt3,0,0,0,1,4,0,0,2,0,0,0,1,0,0,0,0,0,0
p2rlsp,0,15,9,2,17,23,2,3,0,0,0,0,0,0,0,0,0,0
p2x8u3,0,1,3,1,4,3,0,1,0,0,1,1,0,1,0,0,0,0
p2w2nv,0,5,3,3,9,0,0,0,2,1,3,0,3,0,0,0,0,0
p2qppn,0,6,4,5,19,6,0,0,2,0,0,1,0,0,0,4,0,0
