id,FAC,DATE,CARDINAL,GPE,ORG,PERSON,TIME,WORK_OF_ART,ORDINAL,LOC,NORP,PRODUCT,MONEY,LAW,EVENT,PERCENT,QUANTITY,LANGUAGE
opf5h2,0,8,10,14,9,11,0,0,0,1,0,1,0,1,0,0,0,0
opclbo,0,9,3,2,26,18,0,2,0,0,3,0,0,0,0,0,1,0
opdo4m,0,24,14,5,5,0,1,0,0,0,0,0,1,0,0,0,0,0
opexke,0,3,3,3,5,0,0,0,1,0,0,0,2,0,0,0,1,0
opewjc,1,3,6,6,6,3,2,0,1,0,0,0,0,0,0,0,0,0
opfap8,1,3,2,4,6,1,0,0,0,0,0,0,2,0,0,0,2,0
opff1f,2,7,4,9,3,4,1,0,1,0,2,0,0,0,1,0,2,0
opd5m5,3,7,12,10,8,4,0,0,0,0,2,0,2,0,0,0,0,0
opi5u9,0,14,6,9,3,4,1,0,0,4,3,1,0,0,1,1,0,0
ophv50,2,7,14,15,4,1,0,0,0,5,0,0,0,0,0,0,13,0
opev5a,0,5,7,6,20,11,1,0,0,1,0,0,3,1,0,0,0,0
opdxa6,0,3,2,3,10,4,3,0,0,2,0,2,0,0,0,1,3,0
opl0n9,0,10,8,1,15,2,0,0,0,0,0,2,0,0,0,4,0,0
opngdh,0,10,2,7,1,6,0,0,0,0,0,0,1,0,0,0,0,0
oplfil,0,13,4,19,36,8,0,0,0,0,2,0,1,5,0,4,0,0
opl2ya,0,4,1,0,2,5,0,0,3,0,0,0,0,0,0,0,0,0
opjsk4,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0
opk3uy,0,12,3,7,10,20,0,0,0,0,1,0,16,0,0,0,0,0
opot3q,0,3,8,2,6,1,0,0,1,0,0,0,0,0,0,3,0,0
opo9ft,0,7,1,10,6,18,0,1,0,0,4,1,0,2,0,0,0,0
opmre2,0,16,3,6,9,4,0,1,0,0,1,0,0,0,0,11,0,0
opkwsb,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
opihio,0,13,2,30,13,24,0,0,1,0,13,0,1,0,0,0,0,0
opiyi8,0,25,16,5,5,4,1,1,4,1,0,2,0,0,0,7,0,0
opqdtu,0,9,8,8,3,4,0,0,0,0,0,0,0,0,0,8,0,0
opr2a1,0,9,3,3,19,9,0,0,1,0,2,0,2,1,0,0,0,0
oppheq,0,14,7,19,5,13,0,0,3,0,1,1,0,0,0,1,2,0
opr0jf,1,5,1,1,11,8,0,0,0,0,1,0,0,0,0,0,2,0
opqti4,0,13,7,8,4,5,0,0,1,1,0,1,1,0,0,2,3,0
opt262,0,5,3,9,9,10,3,0,0,0,0,0,0,0,0,0,0,0
ops4tt,0,20,15,14,25,17,0,0,0,3,1,0,0,0,0,2,0,0
optkmu,0,20,10,38,42,26,1,1,0,1,16,0,0,0,0,0,0,0
opyg6t,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
opyqjd,1,9,3,5,11,14,1,0,0,0,1,0,0,0,0,0,0,0
opzamd,0,3,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
oprlre,0,1,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
opwbxa,0,25,14,31,37,24,0,0,3,3,5,2,1,0,0,8,0,0
oprrur,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
opthzg,1,5,3,5,0,2,2,0,0,2,1,0,0,1,0,0,0,0
opsnv1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
opzn32,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
opyalk,0,6,10,12,6,4,0,0,0,1,0,0,0,1,0,0,0,0
oprkib,2,12,8,1,30,5,2,0,3,2,1,6,2,0,0,0,0,0
oq0acw,3,14,17,11,12,6,10,0,1,0,0,1,0,0,0,0,0,0
oq2t7s,0,3,0,11,9,4,0,0,2,1,0,4,0,0,0,0,0,0
oq27q9,0,2,3,6,10,13,0,0,0,0,1,0,12,0,0,0,0,0
oq2zct,1,8,2,4,7,2,2,0,0,0,3,0,0,3,0,0,0,0
oq274i,0,2,1,0,16,4,0,0,1,1,0,1,0,0,0,2,0,0
oq1bvs,0,4,7,6,13,8,1,0,1,0,0,0,0,0,0,1,4,0
oq1ny2,0,7,1,3,7,4,0,0,1,0,0,0,0,0,0,0,1,0
oq246n,0,15,13,26,14,4,0,0,1,2,11,0,1,0,0,0,0,0
oq17dm,0,10,2,9,5,5,0,0,0,0,2,0,0,0,0,0,2,0
oq17sy,0,5,4,12,8,5,0,0,0,1,2,0,0,0,0,0,0,0
oq4dp7,0,2,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0
oq1d0e,0,1,0,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0
oq32gu,0,7,6,5,10,11,0,0,0,3,1,0,2,0,0,0,1,0
oq2m3i,0,10,3,20,8,6,0,0,1,0,4,0,0,0,0,1,0,0
oq5su3,0,12,3,11,10,21,0,0,1,0,0,0,0,0,0,0,0,0
oq49al,0,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
oq66uj,0,2,2,3,6,9,0,1,0,0,1,0,8,0,0,0,0,0
oq377t,0,7,7,0,5,19,0,0,3,0,0,2,1,0,0,0,0,0
oq4wt8,1,18,13,19,9,14,3,0,2,0,2,0,0,0,0,0,2,0
oq4bfb,0,23,11,11,23,17,0,0,5,8,3,0,1,0,0,3,0,0
oq66sh,0,11,3,2,2,17,0,0,4,1,1,0,0,0,0,0,0,0
oq4z8e,1,8,3,5,15,3,2,0,0,1,1,0,1,0,0,0,0,0
oq6lhw,0,7,5,9,5,2,0,0,1,0,0,0,0,0,0,0,0,0
oq643o,0,21,1,4,10,16,1,0,0,0,0,0,0,0,0,0,0,0
oq125z,0,6,9,37,47,6,0,0,1,9,5,0,0,0,0,0,0,0
oq4wa4,0,6,8,19,2,5,1,0,0,1,2,0,0,0,0,1,4,0
oq3rs4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oq92st,0,20,2,11,8,16,2,0,0,0,2,0,1,0,0,0,0,0
oqc6v2,0,34,6,13,40,25,0,0,6,3,0,2,0,0,0,1,0,0
oqb60j,0,7,1,6,6,15,0,0,0,0,0,0,2,0,0,0,0,0
oq7lvn,4,27,12,22,10,17,5,1,3,0,2,0,3,0,0,0,3,0
oqahvr,0,3,0,4,9,21,0,0,0,0,0,1,2,0,0,0,0,0
